Title,Estado,Edad,Tematica,Inicio_evento,Fin_evento,Lugar,Created
9569,confirmado,2,toy stoty,2024-07-13T13:14:00Z,2024-07-13T03:00:00Z,Salón,2024-04-25T13:18:43Z
9570,confirmado,2,paw patrol ,2024-05-23T13:19:00Z,2024-05-23T03:00:00Z,SUM,2024-04-25T13:22:21Z
9571,finalizado,5,©,2024-05-24T20:00:00Z,2024-05-24T03:00:00Z,SUM,2024-04-25T13:26:11Z
9572,completado,2,n/a,2024-07-19T19:00:00Z,2024-07-19T03:00:00Z,SUM,2024-04-25T13:30:08Z
9573,confirmado,1, abejita pim pim,2024-07-21T13:29:00Z,2024-07-21T03:00:00Z,SUM,2024-04-25T13:31:04Z
9578,confirmado,1,Fondo del mar,2024-07-06T15:30:00Z,2024-07-06T18:30:00Z,Salón,2024-04-25T14:25:39Z
9579,confirmado,5,ELSA(FROZEN) Y MOANA JUNTAS,2024-07-29T14:31:00Z,2024-07-29T03:00:00Z,Salón,2024-04-25T14:33:28Z
9581,finalizado,1,Sarah Kay,2024-06-07T22:00:00Z,2024-06-07T03:00:00Z,Salón,2024-04-25T15:10:12Z
9582,confirmado,1, Safari,2024-06-15T19:00:00Z,2024-06-15T03:00:00Z,Casa,2024-04-25T16:36:17Z
9584,completado,1,Arcoiris,2024-09-28T16:00:00Z,2024-09-28T21:30:00Z,Quinta,2024-04-25T19:28:44Z
9585,confirmado,1,A convenir,2024-06-09T17:00:00Z,2024-06-09T21:00:00Z,Salón,2024-04-25T23:52:30Z
9586,confirmado,8,Inter Miami,2024-07-09T15:30:00Z,2024-07-09T18:00:00Z,Salón,2024-04-26T01:26:53Z
9587,confirmado,2,Plim plim,2024-06-30T17:00:00Z,2024-06-30T23:00:00Z,Salón,2024-04-26T03:10:09Z
9583,confirmado,15,Cumple 15,2024-06-30T00:00:00Z,2024-06-29T06:00:00Z,Salón,2024-04-26T16:02:47Z
9590,completado,1,MARGARITAS,2024-08-18T16:00:00Z,2024-08-18T21:00:00Z,Salón,2024-04-26T18:47:34Z
